user_id,first_name,last_name,email,age,country,signup_date
1,Arpan,Sharma,arpan@example.com,,India,2025-01-15
2,Sneha,,sneha@example.com,22,India,2025-02-20
3,Rohit,Verma,rohit@example.com,23,,2025-03-10
4,Priya,Singh,priya@example.com,21,India,2025-04-05
5,,Patel,amit@example.com,24,India,2025-05-12
6,Ananya,Gupta,ananya@example.com,22,India,2025-05-18
7,Karan,Reddy,karan@example.com,23,India,2025-05-25
8,Meera,Jain,meera@example.com,21,India,2025-06-01
9,Rajesh,Shah,rajesh@example.com,24,India,2025-06-08
10,Sana,Kapoor,sana@example.com,22,India,2025-06-15
11,Aditya,Mishra,aditya@example.com,23,India,2025-06-22
12,Divya,Banerjee,divya@example.com,,India,2025-06-29
13,Vikram,Chopra,vikram@example.com,24,India,2025-07-06
14,Neha,Desai,neha@example.com,22,India,2025-07-13
15,Rahul,Gupta,rahul@example.com,23,India,2025-07-20
16,Shruti,Mehta,shruti@example.com,21,India,2025-07-27
17,Ankit,Joshi,ankit@example.com,24,India,2025-08-03
18,Parul,Sharma,parul@example.com,22,India,2025-08-10
19,Manish,Khan,manish@example.com,23,India,2025-08-17
20,Isha,Patel,isha@example.com,21,India,2025-08-24
21,Nikhil,Singh,nikhil@example.com,24,India,2025-08-31
22,Simran,Verma,simran@example.com,22,India,2025-09-07
23,Rahul,Kaur,rahulk@example.com,23,India,2025-09-14
24,Ashwini,Reddy,ashwini@example.com,21,India,2025-09-21
25,Vishal,Jain,vishal@example.com,24,India,2025-09-
